cik,revtq,atq,ltq,niq,derhedglq,ppegtq,fqtr,fyearq,fyr,datacqtr,conm,datadate
29534.0,997.079,1518.27,610.764,29.335,,641.158,1.0,2000.0,1.0,2000Q1,DOLLAR GENERAL CORP,2000-04-30
29534.0,1017.418,1626.962,680.603,27.786,,736.444,2.0,2000.0,1.0,2000Q2,DOLLAR GENERAL CORP,2000-07-31
29534.0,1094.36,1768.009,762.62,45.676,,801.837,3.0,2000.0,1.0,2000Q3,DOLLAR GENERAL CORP,2000-10-31
29534.0,1441.714,2282.462,1420.699,-32.155,,1339.554,4.0,2000.0,1.0,2000Q4,DOLLAR GENERAL CORP,2001-01-31
935703.0,327.111,562.435,180.129,13.952,,235.185,1.0,2000.0,12.0,2000Q1,DOLLAR TREE INC,2000-03-31
935703.0,384.503,602.779,190.309,21.148,,289.128,2.0,2000.0,12.0,2000Q2,DOLLAR TREE INC,2000-06-30
935703.0,377.318,666.186,214.284,21.85,,314.216,3.0,2000.0,12.0,2000Q3,DOLLAR TREE INC,2000-09-30
935703.0,599.173,746.859,228.201,64.672,,335.679,4.0,2000.0,12.0,2000Q4,DOLLAR TREE INC,2000-12-31
29534.0,1202.504,2301.594,1405.974,36.233,,1386.885,1.0,2001.0,1.0,2001Q1,DOLLAR GENERAL CORP,2001-04-30
29534.0,1225.254,2330.324,1414.294,27.1,,1429.373,2.0,2001.0,1.0,2001Q2,DOLLAR GENERAL CORP,2001-07-31
29534.0,1309.125,2469.266,1516.106,46.735,,1454.268,3.0,2001.0,1.0,2001Q3,DOLLAR GENERAL CORP,2001-10-31
29534.0,1586.012,2552.385,1510.667,97.445,,1473.693,4.0,2001.0,1.0,2001Q4,DOLLAR GENERAL CORP,2002-01-31
935703.0,387.319,741.061,209.791,10.783,,,1.0,2001.0,12.0,2001Q1,DOLLAR TREE INC,2001-03-31
935703.0,440.361,772.274,218.001,21.658,,,2.0,2001.0,12.0,2001Q2,DOLLAR TREE INC,2001-06-30
935703.0,444.745,844.91,276.994,14.552,,,3.0,2001.0,12.0,2001Q3,DOLLAR TREE INC,2001-09-30
935703.0,714.846,902.048,250.312,76.088,,443.681,4.0,2001.0,12.0,2001Q4,DOLLAR TREE INC,2001-12-31
29534.0,1389.412,2588.732,1500.072,45.928,,1507.414,1.0,2002.0,1.0,2002Q1,DOLLAR GENERAL CORP,2002-04-30
29534.0,1453.727,2265.229,1133.875,42.362,,1547.346,2.0,2002.0,1.0,2002Q2,DOLLAR GENERAL CORP,2002-07-31
29534.0,1497.702,2411.164,1220.813,68.57,,1581.427,3.0,2002.0,1.0,2002Q3,DOLLAR GENERAL CORP,2002-10-31
29534.0,1759.563,2333.153,1045.085,108.086,,1577.823,4.0,2002.0,1.0,2002Q4,DOLLAR GENERAL CORP,2003-01-31
935703.0,489.625,940.693,250.519,22.552,,,1.0,2002.0,12.0,2002Q1,DOLLAR TREE INC,2002-03-31
935703.0,498.578,966.494,219.908,25.237,,,2.0,2002.0,12.0,2002Q2,DOLLAR TREE INC,2002-06-30
935703.0,513.504,1039.564,272.436,19.878,,,3.0,2002.0,12.0,2002Q3,DOLLAR TREE INC,2002-09-30
935703.0,827.481,1116.377,260.973,86.98,,567.892,4.0,2002.0,12.0,2002Q4,DOLLAR TREE INC,2002-12-31
29534.0,1569.064,2355.967,1018.22,60.332,,1606.447,1.0,2003.0,1.0,2003Q1,DOLLAR GENERAL CORP,2003-04-30
29534.0,1651.094,2365.381,963.236,59.936,,1639.164,2.0,2003.0,1.0,2003Q2,DOLLAR GENERAL CORP,2003-07-31
29534.0,1685.346,2589.194,1087.534,77.903,,1667.438,3.0,2003.0,1.0,2003Q3,DOLLAR GENERAL CORP,2003-10-31
29534.0,1966.488,2652.709,1075.789,102.829,,1709.722,4.0,2003.0,1.0,2003Q4,DOLLAR GENERAL CORP,2004-01-31
935703.0,615.568,1278.543,398.231,32.795,,,1.0,2003.0,1.0,2003Q1,DOLLAR TREE INC,2003-04-30
935703.0,626.028,1330.998,411.106,28.799,,,2.0,2003.0,1.0,2003Q2,DOLLAR TREE INC,2003-07-31
935703.0,665.211,1493.325,523.8,36.161,,,3.0,2003.0,1.0,2003Q3,DOLLAR TREE INC,2003-10-31
935703.0,893.065,1480.306,465.784,79.828,,927.806,4.0,2003.0,1.0,2003Q4,DOLLAR TREE INC,2004-01-31
29534.0,1747.959,2673.769,1185.686,67.849,,1775.496,1.0,2004.0,1.0,2004Q1,DOLLAR GENERAL CORP,2004-04-30
29534.0,1836.243,2655.005,1116.129,71.322,,1833.447,2.0,2004.0,1.0,2004Q2,DOLLAR GENERAL CORP,2004-07-31
29534.0,1879.187,2828.017,1250.527,71.126,,1905.578,3.0,2004.0,1.0,2004Q3,DOLLAR GENERAL CORP,2004-10-31
29534.0,2197.538,2841.004,1156.539,133.893,,1940.335,4.0,2004.0,1.0,2004Q4,DOLLAR GENERAL CORP,2005-01-31
935703.0,710.33,1620.632,585.843,35.15,,,1.0,2004.0,1.0,2004Q1,DOLLAR TREE INC,2004-04-30
935703.0,704.234,1649.27,590.738,29.592,,,2.0,2004.0,1.0,2004Q2,DOLLAR TREE INC,2004-07-31
935703.0,723.967,1712.604,636.239,31.854,,,3.0,2004.0,1.0,2004Q3,DOLLAR TREE INC,2004-10-31
935703.0,987.478,1792.672,628.46,83.654,,1120.679,4.0,2004.0,1.0,2004Q4,DOLLAR TREE INC,2005-01-31
29534.0,1977.829,2904.538,1176.572,64.9,,1990.986,1.0,2005.0,1.0,2005Q1,DOLLAR GENERAL CORP,2005-04-30
29534.0,2066.016,2840.366,1192.549,75.558,,2063.696,2.0,2005.0,1.0,2005Q2,DOLLAR GENERAL CORP,2005-07-31
29534.0,2057.888,2930.781,1316.494,64.425,,2139.087,3.0,2005.0,1.0,2005Q3,DOLLAR GENERAL CORP,2005-10-31
29534.0,2480.504,2992.187,1271.392,145.272,,2221.54,4.0,2005.0,1.0,2005Q4,DOLLAR GENERAL CORP,2006-01-31
935703.0,749.093,1694.583,625.888,29.012,,,1.0,2005.0,1.0,2005Q1,DOLLAR TREE INC,2005-04-30
935703.0,769.027,1679.812,582.617,27.31,,,2.0,2005.0,1.0,2005Q2,DOLLAR TREE INC,2005-07-31
935703.0,796.787,1769.171,688.386,31.097,,,3.0,2005.0,1.0,2005Q3,DOLLAR TREE INC,2005-10-31
935703.0,1079.017,1798.4,626.125,86.499,,1239.886,4.0,2005.0,1.0,2005Q4,DOLLAR TREE INC,2006-01-31
29534.0,2151.387,3063.467,1376.653,47.67,,2286.564,1.0,2006.0,1.0,2006Q1,DOLLAR GENERAL CORP,2006-04-30
29534.0,2251.053,3245.197,1523.72,45.468,,2360.668,2.0,2006.0,1.0,2006Q2,DOLLAR GENERAL CORP,2006-07-31
29534.0,2213.396,3206.303,1503.362,-5.285,,2410.754,3.0,2006.0,1.0,2006Q3,DOLLAR GENERAL CORP,2006-10-31
29534.0,2553.986,3040.514,1294.767,50.09,,2430.811,4.0,2006.0,1.0,2006Q4,DOLLAR GENERAL CORP,2007-01-31
935703.0,856.5,1837.8,670.4,32.9,,,1.0,2006.0,1.0,2006Q1,DOLLAR TREE INC,2006-04-30
935703.0,883.6,1775.3,661.5,29.0,,,2.0,2006.0,1.0,2006Q2,DOLLAR TREE INC,2006-07-31
935703.0,910.4,1851.0,692.4,32.5,,,3.0,2006.0,1.0,2006Q3,DOLLAR TREE INC,2006-10-31
935703.0,1318.9,1873.3,705.6,97.6,,1413.3,4.0,2006.0,1.0,2006Q4,DOLLAR TREE INC,2007-01-31
29534.0,2559.573,8656.431,5943.436,55.389,,1389.563,4.0,2007.0,1.0,2007Q4,DOLLAR GENERAL CORP,2008-01-31
29534.0,2275.267,3074.309,1277.532,33.645,,2445.133,1.0,2007.0,1.0,2007Q1,DOLLAR GENERAL CORP,2007-04-30
29534.0,2347.564,,,-68.818,,,2.0,2007.0,1.0,2007Q2,DOLLAR GENERAL CORP,2007-07-31
29534.0,2312.842,8931.735,6236.731,-33.032,,,3.0,2007.0,1.0,2007Q3,DOLLAR GENERAL CORP,2007-10-31
935703.0,975.0,1762.9,665.0,38.1,,,1.0,2007.0,1.0,2007Q1,DOLLAR TREE INC,2007-04-30
935703.0,971.2,1837.0,733.7,32.6,,,2.0,2007.0,1.0,2007Q2,DOLLAR TREE INC,2007-07-31
935703.0,997.8,1867.9,883.1,35.9,,,3.0,2007.0,1.0,2007Q3,DOLLAR TREE INC,2007-10-31
935703.0,1298.6,1787.7,799.3,94.7,,1575.1,4.0,2007.0,1.0,2007Q4,DOLLAR TREE INC,2008-01-31
29534.0,2403.498,8662.999,5923.28,5.916,,,1.0,2008.0,1.0,2008Q1,DOLLAR GENERAL CORP,2008-04-30
29534.0,2609.384,8909.79,6131.83,27.718,,,2.0,2008.0,1.0,2008Q2,DOLLAR GENERAL CORP,2008-07-31
29534.0,2598.938,8940.101,6163.487,-7.306,,,3.0,2008.0,1.0,2008Q3,DOLLAR GENERAL CORP,2008-10-31
29534.0,2845.848,8889.199,6043.58,81.854,,1561.008,4.0,2008.0,1.0,2008Q4,DOLLAR GENERAL CORP,2009-01-31
935703.0,1051.3,1771.1,733.7,43.6,,,1.0,2008.0,1.0,2008Q1,DOLLAR TREE INC,2008-04-30
935703.0,1093.1,1864.7,778.4,37.6,,,2.0,2008.0,1.0,2008Q2,DOLLAR TREE INC,2008-07-31
935703.0,1114.0,1921.7,781.6,43.1,,,3.0,2008.0,1.0,2008Q3,DOLLAR TREE INC,2008-10-31
935703.0,1386.5,2035.7,782.5,105.2,,1680.6,4.0,2008.0,1.0,2008Q4,DOLLAR TREE INC,2009-01-31
29534.0,2779.937,8978.801,6047.866,83.006,,,1.0,2009.0,1.0,2009Q1,DOLLAR GENERAL CORP,2009-04-30
29534.0,2901.907,9139.944,6108.125,93.59,,,2.0,2009.0,1.0,2009Q2,DOLLAR GENERAL CORP,2009-07-31
29534.0,2928.751,9132.532,6261.987,75.649,,,3.0,2009.0,1.0,2009Q3,DOLLAR GENERAL CORP,2009-10-31
29534.0,3185.785,8863.519,5454.735,87.197,,1792.373,4.0,2009.0,1.0,2009Q4,DOLLAR GENERAL CORP,2010-01-31
935703.0,1201.1,2073.7,792.2,60.4,,,1.0,2009.0,1.0,2009Q1,DOLLAR TREE INC,2009-04-30
935703.0,1222.8,2135.1,824.7,56.9,,,2.0,2009.0,1.0,2009Q2,DOLLAR TREE INC,2009-07-31
935703.0,1248.7,2180.5,855.6,68.2,,,3.0,2009.0,1.0,2009Q3,DOLLAR TREE INC,2009-10-31
935703.0,1558.6,2289.7,860.5,135.0,,1794.8,4.0,2009.0,1.0,2009Q4,DOLLAR TREE INC,2010-01-31
29534.0,3111.314,8977.076,5423.926,135.996,,,1.0,2010.0,1.0,2010Q1,DOLLAR GENERAL CORP,2010-04-30
29534.0,3214.155,9179.474,5481.703,141.195,,,2.0,2010.0,1.0,2010Q2,DOLLAR GENERAL CORP,2010-07-31
29534.0,3223.427,9349.574,5517.401,128.12,,,3.0,2010.0,1.0,2010Q3,DOLLAR GENERAL CORP,2010-10-31
29534.0,3486.104,9546.222,5482.59,222.546,,2177.269,4.0,2010.0,1.0,2010Q4,DOLLAR GENERAL CORP,2011-01-31
935703.0,1352.6,2142.7,849.7,63.6,,,1.0,2010.0,1.0,2010Q1,DOLLAR TREE INC,2010-04-30
935703.0,1377.9,2257.3,875.8,78.0,,,2.0,2010.0,1.0,2010Q2,DOLLAR TREE INC,2010-07-31
935703.0,1426.6,2362.1,949.9,93.2,,,3.0,2010.0,1.0,2010Q3,DOLLAR TREE INC,2010-10-31
935703.0,1725.3,2380.5,921.5,162.5,,1945.4,4.0,2010.0,1.0,2010Q4,DOLLAR TREE INC,2011-01-31
29534.0,3451.697,9714.864,5485.941,156.969,,,1.0,2011.0,1.0,2011Q1,DOLLAR GENERAL CORP,2011-04-30
29534.0,3575.194,9529.103,5146.268,146.042,,,2.0,2011.0,1.0,2011Q2,DOLLAR GENERAL CORP,2011-07-31
29534.0,3595.224,9735.882,5174.561,171.164,,,3.0,2011.0,1.0,2011Q3,DOLLAR GENERAL CORP,2011-10-31
29534.0,4185.073,9688.52,5013.938,292.51,,2680.985,4.0,2011.0,1.0,2011Q4,DOLLAR GENERAL CORP,2012-01-31
935703.0,1542.4,2478.9,891.2,94.9,,,2.0,2011.0,1.0,2011Q2,DOLLAR TREE INC,2011-07-31
935703.0,1545.9,2381.3,894.6,101.0,,,1.0,2011.0,1.0,2011Q1,DOLLAR TREE INC,2011-04-30
935703.0,1596.6,2431.2,984.3,104.5,,,3.0,2011.0,1.0,2011Q3,DOLLAR TREE INC,2011-10-31
935703.0,1945.6,2328.6,984.0,187.9,,2155.8,4.0,2011.0,1.0,2011Q4,DOLLAR TREE INC,2012-01-31
29534.0,3901.205,9770.208,5173.132,213.415,,,1.0,2012.0,1.0,2012Q1,DOLLAR GENERAL CORP,2012-04-30
29534.0,3948.655,10103.474,5287.463,214.14,,,2.0,2012.0,1.0,2012Q2,DOLLAR GENERAL CORP,2012-07-31
29534.0,3964.647,10273.677,5538.815,207.685,,,3.0,2012.0,1.0,2012Q3,DOLLAR GENERAL CORP,2012-10-31
29534.0,4207.621,10367.682,5382.352,317.422,,3226.898,4.0,2012.0,1.0,2012Q4,DOLLAR GENERAL CORP,2013-01-31
935703.0,1723.6,2451.1,970.5,116.1,,,1.0,2012.0,1.0,2012Q1,DOLLAR TREE INC,2012-04-30
935703.0,1704.6,2499.7,976.7,119.2,,,2.0,2012.0,1.0,2012Q2,DOLLAR TREE INC,2012-07-31
935703.0,1720.5,2639.3,1100.4,155.4,,,3.0,2012.0,1.0,2012Q3,DOLLAR TREE INC,2012-10-31
935703.0,2245.8,2752.0,1084.7,228.6,,2433.9,4.0,2012.0,1.0,2012Q4,DOLLAR TREE INC,2013-01-31
29534.0,4233.733,10493.697,5314.798,220.083,0.0,,1.0,2013.0,1.0,2013Q1,DOLLAR GENERAL CORP,2013-04-30
29534.0,4394.651,10699.63,5468.154,245.475,0.0,,2.0,2013.0,1.0,2013Q2,DOLLAR GENERAL CORP,2013-07-31
29534.0,4381.838,10775.975,5501.021,237.385,0.0,,3.0,2013.0,1.0,2013Q3,DOLLAR GENERAL CORP,2013-10-31
29534.0,4493.945,10867.524,5465.331,322.173,0.0,3452.916,4.0,2013.0,1.0,2013Q4,DOLLAR GENERAL CORP,2014-01-31
935703.0,1865.8,2811.8,1072.1,133.5,,,1.0,2013.0,1.0,2013Q1,DOLLAR TREE INC,2013-04-30
935703.0,1854.9,2908.3,1082.4,124.7,,,2.0,2013.0,1.0,2013Q2,DOLLAR TREE INC,2013-07-31
935703.0,1884.7,2882.8,1923.8,125.4,,,3.0,2013.0,1.0,2013Q3,DOLLAR TREE INC,2013-10-31
935703.0,2234.9,2771.9,1601.2,213.1,,2710.1,4.0,2013.0,1.0,2013Q4,DOLLAR TREE INC,2014-01-31
29534.0,4522.081,10601.884,5769.657,222.398,,,1.0,2014.0,1.0,2014Q1,DOLLAR GENERAL CORP,2014-04-30
29534.0,4724.039,10825.794,5729.801,251.26,,,2.0,2014.0,1.0,2014Q2,DOLLAR GENERAL CORP,2014-07-31
29534.0,4724.409,10877.372,5533.735,236.316,,,3.0,2014.0,1.0,2014Q3,DOLLAR GENERAL CORP,2014-10-31
29534.0,4939.059,11224.104,5514.066,355.371,0.0,3753.557,4.0,2014.0,1.0,2014Q4,DOLLAR GENERAL CORP,2015-01-31
935703.0,2031.1,3146.7,1698.6,121.4,,,2.0,2014.0,1.0,2014Q2,DOLLAR TREE INC,2014-07-31
935703.0,2000.3,2958.0,1640.2,138.3,,,1.0,2014.0,1.0,2014Q1,DOLLAR TREE INC,2014-04-30
935703.0,2095.2,3367.7,1782.6,133.0,,,3.0,2014.0,1.0,2014Q3,DOLLAR TREE INC,2014-10-31
935703.0,2475.6,3567.0,1782.0,206.5,,2970.2,4.0,2014.0,1.0,2014Q4,DOLLAR TREE INC,2015-01-31
29534.0,4918.672,10956.55,5570.692,253.235,,,1.0,2015.0,1.0,2015Q1,DOLLAR GENERAL CORP,2015-04-30
29534.0,5095.904,11195.195,5776.261,282.349,,,2.0,2015.0,1.0,2015Q2,DOLLAR GENERAL CORP,2015-07-31
29534.0,5067.048,11288.293,5944.7,253.321,,,3.0,2015.0,1.0,2015Q3,DOLLAR GENERAL CORP,2015-10-31
29534.0,5286.938,11257.885,5880.009,376.175,,4170.486,4.0,2015.0,1.0,2015Q4,DOLLAR GENERAL CORP,2016-01-31
935703.0,4945.3,16699.0,12556.8,81.9,,,3.0,2015.0,1.0,2015Q3,DOLLAR TREE INC,2015-10-31
935703.0,3011.1,16565.1,12518.1,-98.0,,,2.0,2015.0,1.0,2015Q2,DOLLAR TREE INC,2015-07-31
935703.0,2176.7,10869.2,8998.4,69.5,,,1.0,2015.0,1.0,2015Q1,DOLLAR TREE INC,2015-04-30
935703.0,5365.3,15901.2,11494.3,229.0,,5297.5,4.0,2015.0,1.0,2015Q4,DOLLAR TREE INC,2016-01-31
29534.0,5265.432,11316.384,5928.001,295.124,,,1.0,2016.0,1.0,2016Q1,DOLLAR GENERAL CORP,2016-04-30
29534.0,5391.891,11617.37,6204.009,306.518,,,2.0,2016.0,1.0,2016Q2,DOLLAR GENERAL CORP,2016-07-31
29534.0,5320.029,11917.076,6555.224,235.315,,,3.0,2016.0,1.0,2016Q3,DOLLAR GENERAL CORP,2016-10-31
29534.0,6009.246,11672.298,6266.004,414.176,,4595.002,4.0,2016.0,1.0,2016Q4,DOLLAR GENERAL CORP,2017-01-31
935703.0,5001.8,16195.0,11147.3,171.6,,5743.6,3.0,2016.0,1.0,2016Q3,DOLLAR TREE INC,2016-10-31
935703.0,5635.3,15701.6,10312.1,321.8,,5810.3,4.0,2016.0,1.0,2016Q4,DOLLAR TREE INC,2017-01-31
935703.0,5085.8,16060.9,11391.3,232.6,,5459.6,1.0,2016.0,1.0,2016Q1,DOLLAR TREE INC,2016-04-30
935703.0,4996.3,16329.4,11472.5,170.2,,5612.1,2.0,2016.0,1.0,2016Q2,DOLLAR TREE INC,2016-07-31
29534.0,5609.625,11796.355,6267.474,279.489,,,1.0,2017.0,1.0,2017Q1,DOLLAR GENERAL CORP,2017-04-30
29534.0,5828.305,12120.824,6433.729,294.783,,,2.0,2017.0,1.0,2017Q2,DOLLAR GENERAL CORP,2017-07-31
29534.0,5903.606,12374.756,6630.601,252.533,,,3.0,2017.0,1.0,2017Q3,DOLLAR GENERAL CORP,2017-10-31
29534.0,6129.431,12516.911,6391.137,712.155,,5175.292,4.0,2017.0,1.0,2017Q4,DOLLAR GENERAL CORP,2018-01-31
935703.0,5287.1,15994.7,10385.7,200.5,,5908.4,1.0,2017.0,1.0,2017Q1,DOLLAR TREE INC,2017-04-30
935703.0,5281.2,15532.3,9672.1,233.8,,6057.2,2.0,2017.0,1.0,2017Q2,DOLLAR TREE INC,2017-07-31
935703.0,5316.6,15730.2,9613.7,239.9,,6239.0,3.0,2017.0,1.0,2017Q3,DOLLAR TREE INC,2017-10-31
935703.0,6360.6,16332.8,9150.5,1040.1,,6392.8,4.0,2017.0,1.0,2017Q4,DOLLAR TREE INC,2018-01-31
29534.0,6114.463,12493.23,6256.912,364.852,,,1.0,2018.0,1.0,2018Q1,DOLLAR GENERAL CORP,2018-04-30
29534.0,6443.309,12943.949,6565.007,407.237,,,2.0,2018.0,1.0,2018Q2,DOLLAR GENERAL CORP,2018-07-31
29534.0,6417.462,13121.021,6765.133,334.142,,,3.0,2018.0,1.0,2018Q3,DOLLAR GENERAL CORP,2018-10-31
29534.0,6649.809,13204.038,6786.645,483.241,,5518.977,4.0,2018.0,1.0,2018Q4,DOLLAR GENERAL CORP,2019-01-31
935703.0,5553.7,15827.1,8471.4,160.5,,6572.0,1.0,2018.0,1.0,2018Q1,DOLLAR TREE INC,2018-04-30
935703.0,5525.6,16103.6,8456.1,273.9,,6764.3,2.0,2018.0,1.0,2018Q2,DOLLAR TREE INC,2018-07-31
935703.0,5538.8,16649.3,8706.2,281.8,,6978.0,3.0,2018.0,1.0,2018Q3,DOLLAR TREE INC,2018-10-31
935703.0,6205.2,13501.2,7858.3,-2307.0,,7135.9,4.0,2018.0,1.0,2018Q4,DOLLAR TREE INC,2019-01-31
29534.0,6623.185,21304.284,14731.615,385.013,,,1.0,2019.0,1.0,2019Q1,DOLLAR GENERAL CORP,2019-04-30
29534.0,6981.753,21917.529,15168.369,426.555,,,2.0,2019.0,1.0,2019Q2,DOLLAR GENERAL CORP,2019-07-31
29534.0,6991.393,22412.79,15764.495,365.55,,,3.0,2019.0,1.0,2019Q3,DOLLAR GENERAL CORP,2019-10-31
29534.0,7157.642,22825.084,16122.584,535.437,,14894.153,4.0,2019.0,1.0,2019Q4,DOLLAR GENERAL CORP,2020-01-31
935703.0,5808.7,19354.3,13598.4,267.9,,13458.7,1.0,2019.0,1.0,2019Q1,DOLLAR TREE INC,2019-04-30
935703.0,5740.6,19493.8,13628.1,180.3,,13608.5,2.0,2019.0,1.0,2019Q2,DOLLAR TREE INC,2019-07-31
935703.0,5746.2,19742.1,13620.8,255.8,,13731.9,3.0,2019.0,1.0,2019Q3,DOLLAR TREE INC,2019-10-31
935703.0,6315.3,19574.6,13319.8,123.0,,14300.9,4.0,2019.0,1.0,2019Q4,DOLLAR TREE INC,2020-01-31
29534.0,8448.449,24848.313,17638.859,650.446,,,1.0,2020.0,1.0,2020Q1,DOLLAR GENERAL CORP,2020-04-30
29534.0,8684.241,25847.433,18491.362,787.601,,,2.0,2020.0,1.0,2020Q2,DOLLAR GENERAL CORP,2020-07-31
29534.0,8199.625,26153.442,19167.923,574.26,,,3.0,2020.0,1.0,2020Q3,DOLLAR GENERAL CORP,2020-10-31
29534.0,8414.524,25862.624,19201.386,642.743,,16737.66,4.0,2020.0,1.0,2020Q4,DOLLAR GENERAL CORP,2021-01-31
935703.0,6286.8,20471.8,13951.2,247.6,,14444.8,1.0,2020.0,1.0,2020Q1,DOLLAR TREE INC,2020-04-30
935703.0,6277.6,20671.0,13857.4,261.5,,14717.3,2.0,2020.0,1.0,2020Q2,DOLLAR TREE INC,2020-07-31
935703.0,6177.0,20652.2,13691.1,330.0,,14898.8,3.0,2020.0,1.0,2020Q3,DOLLAR TREE INC,2020-10-31
935703.0,6767.9,20696.0,13410.7,502.8,,15205.4,4.0,2020.0,1.0,2020Q4,DOLLAR TREE INC,2021-01-31
29534.0,8400.964,25236.698,18986.773,677.749,,,1.0,2021.0,1.0,2021Q1,DOLLAR GENERAL CORP,2021-04-30
29534.0,8650.198,25487.808,19350.673,637.019,,,2.0,2021.0,1.0,2021Q2,DOLLAR GENERAL CORP,2021-07-31
29534.0,8517.839,25925.302,19735.501,487.031,,,3.0,2021.0,1.0,2021Q3,DOLLAR GENERAL CORP,2021-10-31
29534.0,8651.448,26327.371,20065.385,597.433,,18030.704,4.0,2021.0,1.0,2021Q4,DOLLAR GENERAL CORP,2022-01-31
935703.0,6479.7,21050.7,13639.4,374.5,,15456.1,1.0,2021.0,1.0,2021Q1,DOLLAR TREE INC,2021-04-30
935703.0,6343.2,20445.2,13433.5,282.4,,15650.0,2.0,2021.0,1.0,2021Q2,DOLLAR TREE INC,2021-07-31
935703.0,6417.7,21390.0,14145.6,216.8,,16011.3,3.0,2021.0,1.0,2021Q3,DOLLAR TREE INC,2021-10-31
935703.0,7080.6,21721.8,14003.3,454.2,,16266.4,4.0,2021.0,1.0,2021Q4,DOLLAR TREE INC,2022-01-31
29534.0,8751.352,26956.308,20994.684,552.657,,,1.0,2022.0,1.0,2022Q1,DOLLAR GENERAL CORP,2022-04-30
29534.0,9425.713,28239.256,22050.765,678.03,,,2.0,2022.0,1.0,2022Q2,DOLLAR GENERAL CORP,2022-07-31
935703.0,6902.6,22372.3,14130.8,536.4,,16404.8,1.0,2022.0,1.0,2022Q1,DOLLAR TREE INC,2022-04-30
935703.0,6768.5,22676.3,14279.8,359.9,,16775.4,2.0,2022.0,1.0,2022Q2,DOLLAR TREE INC,2022-07-31
